studiepgm_navn,identifikator,studiepgm_navn_en,instnr,instnavn,instnavn_en,studiested,NUSKODE,fagfelt,fagfelt_nyn,fagfelt_eng,faggruppe,faggruppe_nyn,faggruppe_eng,utdanningsgruppe,utdanningsgruppe_nyn,utdanningsgruppe_eng,bama,fagfelt_bama,studprog_kod,Prosenttall_Praksis,STUDIENIVAKODE,utd_type,utd_gruppe,aggregerte_data,oppr_utvalg,end_utvalg,andel_svart,terskel,an_heltd_DBH,stupoeng_DBH,organis_DBH,pc_praksDBH,undsprakDBH,vidutd_DBH,totstud_DBH,totkvi_DBH,totmenn_DBH,aldmedian_DBH,totkvi_prosent_DBH,totmenn_prosent_DBH,underv_engasj_18,underv_formidl_18,underv_pensum_18,underv_aktiv_18,indeks_underv_18,omftilb_forinnlev_15,omftilb_etterinnlev_15,omftilb_ikkeskrift_15,omftilb_andrestud_15,omftilb_fagprobl_15,omftilb_fagutvikl_15,tilbveil_antall_16,tilbveil_konstru_13,tilbveil_fagdisk_18,indeks_tilbveil_16,tilbveil_student_18,miljo_sosial_13,miljo_fag_13,miljo_studans_15,indeks_psymiljo_15,miljo_lokaler_13,miljo_utstyr_13,miljo_biblio_13,miljo_ikt_13,indeks_fysmiljo_13,indeks_miljo_13,organ_tilgjinfo_17,organ_kvalinfo_17,organ_admtilr_17,organ_fagligsam_17,indeks_organ_17,vurd_pensum_13,vurd_forstaelse_13,vurd_laert_17,vurd_kriterier_17,vurd_fagutv_17,indeks_vurd_17,medvirk_innspill_18,medvirk_oppfolg_18,medvirk_tillitsv_18,indeks_medvirk_18,insp_stimul_13,insp_utfordr_13,insp_motivasjon_14,indeks_insp_14,praksis_forber_14,praksis_organ_18,praksis_komm_14,praksis_tilbakem_14,praksis_fagutford_14,praksis_teori_14,praksis_undervis_14,indeks_praksis_14,yrkrel_komp_16,yrkrel_bruk_18,yrkrel_bransje_18,yrkrel_kontakter_18,indeks_yrkrel_18,laerutb_teori_13,laerutb_metforsk_13,laerutb_egenerf_13,laerutb_fagspes_13,laerutb_refleks_13,laerutb_samarb_13,laerutb_muntkom_13,laerutb_skriftkom_13,laerutb_tenke_13,laerutb_selvst_13,egeteng_motivert_14,egeteng_orgakt_14,egeteng_forberedt_14,egeteng_innsats_14,indeks_egeteng_14,forvent_klare_16,forvent_forberedt_16,forvent_deltar_16,forvent_fagamb_16,indeks_forvent_16,overord_garpahelst_13,overord_altialt_13,tidsbruk_laerakt_14,tidsbruk_egeninns_14,tidsbruk_arbeid_14,digitale_aktivt_18,digitale_kompet_18,digitale_opplaer_18,digitale_laerplatt_18,indeks_digi_18,undbruk_forelesn_14,undbruk_seminar_14,undbruk_gruppe_14,undbruk_innlev_14,undbruk_prosjekt_14,undbruk_feltarb_17,undbruk_lab_14,undbruk_praktov_14,undbruk_case_14,undbruk_simul_14,undbruk_praksis_14,undbruk_digital_14,undbidr_forelesn_14,undbidr_seminar_14,undbidr_gruppe_14,undbidr_innlev_14,undbidr_prosjekt_14,undbidr_feltarb_17,undbidr_lab_14,undbidr_praktov_14,undbidr_case_14,undbidr_simul_14,undbidr_praksis_14,undbidr_digital_14,studiestart_samsvar_18,studiestart_forventn_18,studiestart_innfor_18,studiestart_fagfellans_18,studiestart_fagfellstud_18,studiestart_sosfell_18
Bachelor i interkulturelle studier,8232_BAIKS,Bachelor in intercultural studies,8232,Ansgar Teologiske Høgskole,Ansgar School of Theology and Mission,Kristiansand,631917,Samfunnsfag og juridiske fag,Samfunnsfag og juridiske fag,Social sciences and law,Statsvitenskapelige fag,Statsvitskapelege fag,Political science,"Statsvitenskapelige fag, andre","Statsvitskapelege fag, andre","Political science, other",Bachelor,Samfunnsfag og juridiske fag - bachelor,BAIKS,0,B3,HIST-FIL,RELIGION,0,5,0,0,0,1.0,180,1,0,NOR,0,17,13,4,23,0.76,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor i Kultur- og samfunnspsykologi,8232_BAKSPSY,Bachelor i Cultural and Community Psychology,8232,Ansgar Teologiske Høgskole,Ansgar School of Theology and Mission,Kristiansand,636102,Samfunnsfag og juridiske fag,Samfunnsfag og juridiske fag,Social sciences and law,Psykologiske fag,Psykologiske fag,Psychology,Psykologi,Psykologi,Psychology,Bachelor,Samfunnsfag og juridiske fag - bachelor,BAKSPSY,,B3,PSYKOLOGI,PSYKOLOGI,0,20,15,1,1,1.0,180,1,0,NOR,0,86,65,21,22,0.76,0.24,4.2,4.1,4.6,3.5,4.1,,,,,,,2.9,4.0,3.4,3.4,3.5,3.8,3.9,4.1,4.0,3.1,3.1,3.3,3.2,3.1,3.5,4.0,4.1,4.0,4.1,4.0,4.4,4.5,4.5,3.8,4.3,4.3,3.4,2.9,3.3,3.3,4.1,4.3,3.6,4.0,,,,,,,,,4.4,2.7,2.9,2.2,3.1,4.1,3.8,2.7,3.3,4.1,4.1,4.0,3.6,3.8,3.9,4.0,3.3,3.4,3.1,3.5,4.0,4.1,3.5,3.6,3.7,4.0,4.4,20.0,16.8,7.2,3.6,3.8,3.1,4.2,3.7,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.1,4.1,3.0,3.2,3.1
Bachelor i musikk og helse,8232_BAMUH,Bachelor in Music and Health,8232,Ansgar Teologiske Høgskole,Ansgar School of Theology and Mission,Kristiansand,615115,Humanistiske og estetiske fag,Humanistiske og estetiske fag,Humanities and arts,"Musikk, dans og drama","Musikk, dans og drama","Music, dance and drama",Sang- og musikkutdanninger,Song- og musikkutdanningar,Vocal and instrumental music,Bachelor,Humanistiske og estetiske fag - bachelor,BAMUH,6,B3,HIST-FIL,KUNST/LITTERATUR/KULTUR,0,9,7,1,1,1.0,180,1,6,NOR,0,26,17,9,22,0.65,0.35,4.6,4.6,4.3,4.7,4.5,,,,,,,3.6,4.9,3.7,4.0,4.2,4.4,4.1,4.6,4.4,2.6,3.9,4.3,4.0,3.7,4.0,3.7,4.1,3.6,4.3,3.9,4.4,4.4,4.4,4.3,4.3,4.4,4.1,4.2,4.1,4.1,4.5,4.7,4.3,4.5,,,,,,,,,4.4,3.9,3.7,3.6,3.9,3.7,2.8,3.0,3.7,4.1,4.1,4.1,3.4,4.3,4.0,4.7,4.5,3.7,4.1,4.2,4.6,4.6,4.3,4.4,4.5,4.7,4.7,15.7,12.4,2.2,4.4,4.3,4.4,4.6,4.4,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.1,4.1,4.8,4.1,4.3
Bachelor i Musikk,8232_BAMUS,Bachelor in Music,8232,Ansgar Teologiske Høgskole,Ansgar School of Theology and Mission,Kristiansand,615115,Humanistiske og estetiske fag,Humanistiske og estetiske fag,Humanities and arts,"Musikk, dans og drama","Musikk, dans og drama","Music, dance and drama",Sang- og musikkutdanninger,Song- og musikkutdanningar,Vocal and instrumental music,Bachelor,Humanistiske og estetiske fag - bachelor,BAMUS,11,B3,HIST-FIL,KUNST/LITTERATUR/KULTUR,0,2,1,1,0,1.0,180,1,11,NOR,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor i  Musikkteknologi,8232_BAMUT,Bachelor in Music Technology,8232,Ansgar Teologiske Høgskole,Ansgar School of Theology and Mission,Kristiansand,615115,Humanistiske og estetiske fag,Humanistiske og estetiske fag,Humanities and arts,"Musikk, dans og drama","Musikk, dans og drama","Music, dance and drama",Sang- og musikkutdanninger,Song- og musikkutdanningar,Vocal and instrumental music,Bachelor,Humanistiske og estetiske fag - bachelor,BAMUT,6,B3,HIST-FIL,KUNST/LITTERATUR/KULTUR,0,14,13,1,1,1.0,180,1,6,NOR,0,43,5,38,23,0.12,0.88,4.3,4.3,3.7,4.4,4.2,,,,,,,4.4,4.5,3.8,4.3,4.0,4.6,4.1,4.6,4.4,3.8,4.4,4.5,4.0,4.2,4.3,3.8,3.6,3.7,3.8,3.7,4.5,4.1,4.1,3.7,4.3,4.1,3.9,3.8,3.9,3.8,4.5,3.9,3.8,4.0,3.3,3.8,3.4,4.3,3.8,3.7,3.7,3.5,4.5,3.4,2.6,2.5,3.3,3.7,3.5,3.3,3.2,3.6,3.7,3.8,3.6,3.8,3.9,4.2,3.6,3.3,3.6,3.7,3.8,4.0,4.0,4.0,3.9,4.5,4.3,13.7,10.0,12.0,4.0,4.0,4.3,4.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,3.9,4.2,3.7,4.2,4.0,4.1
Bachelor i praktisk teologi,8232_BAPRA,Bachelor in Practical Theology,8232,Ansgar Teologiske Høgskole,Ansgar School of Theology and Mission,Kristiansand,614207,Humanistiske og estetiske fag,Humanistiske og estetiske fag,Humanities and arts,Religionsutdanninger,Religionsutdanningar,Religion,Kristendom og andre religionsutdanninger,Kristendom og andre religionsutdanningar,Christianity and other religions,Bachelor,Humanistiske og estetiske fag - bachelor,BAPRA,11,B3,HIST-FIL,RELIGION,0,13,7,1,1,1.0,180,1,11,NOR,0,26,7,19,23,0.27,0.73,4.3,4.1,4.1,3.6,4.0,,,,,,,2.8,4.0,3.4,3.2,3.6,4.1,3.6,4.1,4.0,3.1,4.1,4.9,4.0,4.0,4.0,3.1,3.0,3.3,3.4,3.2,4.3,4.3,3.7,4.3,4.0,4.1,3.8,4.0,3.7,3.6,3.6,4.0,3.6,3.7,,,,,,,,,3.3,2.1,3.1,2.4,2.8,4.1,3.8,3.6,3.3,3.7,3.6,3.6,3.6,3.3,3.8,3.7,3.3,3.4,3.4,3.5,3.1,3.0,2.4,3.0,2.9,5.0,4.0,12.9,10.4,9.3,3.7,2.4,2.9,3.4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.6,3.3,2.8,3.1,4.0
Bachelor i teologi,8232_BATEOL,Bachelor in Theology,8232,Ansgar Teologiske Høgskole,Ansgar School of Theology and Mission,Kristiansand,614207,Humanistiske og estetiske fag,Humanistiske og estetiske fag,Humanities and arts,Religionsutdanninger,Religionsutdanningar,Religion,Kristendom og andre religionsutdanninger,Kristendom og andre religionsutdanningar,Christianity and other religions,Bachelor,Humanistiske og estetiske fag - bachelor,BATEOL,,B3,HIST-FIL,RELIGION,1,13,8,1,1,1.0,180,1,0,NOR,0,20,10,10,22,0.50,0.50,,,,,,,,,,,,3.1,3.3,3.3,3.2,,3.4,3.1,4.5,3.7,4.3,3.6,4.5,3.6,4.0,3.9,4.3,3.8,4.1,3.8,4.0,3.8,4.4,4.1,3.9,3.6,4.0,,,,,4.0,4.5,3.6,4.0,,,,,,,,,4.1,,,,,4.3,3.1,2.4,3.0,4.3,3.4,3.3,4.0,3.4,4.5,3.8,4.0,3.0,3.5,3.5,3.6,3.1,3.0,3.9,3.4,4.4,4.4,8.1,8.1,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master i ledelse og menighetsutvikling,8232_MALMU,Master in Church leadership and development,8232,Ansgar Teologiske Høgskole,Ansgar School of Theology and Mission,Kristiansand,714228,Humanistiske og estetiske fag,Humanistiske og estetiske fag,Humanities and arts,Religionsutdanninger,Religionsutdanningar,Religion,Kristendom og andre religionsutdanninger,Kristendom og andre religionsutdanningar,Christianity and other religions,Master,Humanistiske og estetiske fag - master,MALMU,0,M2,ØKADM,ØKADM,0,8,7,1,1,0.5,120,1,0,NOR,0,39,13,26,34,0.33,0.67,4.7,4.9,4.7,4.9,4.8,,,,,,,4.3,4.7,4.7,4.6,4.4,4.3,4.4,4.7,4.5,4.7,4.7,5.0,4.1,4.6,4.6,4.1,4.1,4.6,4.9,4.4,5.0,4.9,4.9,4.3,5.0,4.8,4.6,4.3,3.7,4.2,5.0,4.7,4.9,4.9,,,,,,,,,4.9,3.7,3.9,4.1,4.1,4.7,5.0,4.3,4.0,4.7,4.3,4.5,4.3,4.5,4.3,5.0,4.7,3.7,4.0,4.3,4.3,4.3,4.5,4.8,4.5,5.0,5.0,8.5,14.3,15.0,4.0,3.5,3.7,4.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.3,4.2,4.0,4.0,4.3
Master i arkitektur,1220_MASTERARK,Master of Architecture,1220,Arkitektur- og designhøgskolen i Oslo,The Oslo School of Architecture and Design,Oslo,757204,"Naturvitenskapelige fag, håndverksfag og tekniske fag","Naturvitskapelege fag, handverksfag og tekniske fag","Natural sciences, vocational and technical subjects",Bygg- og anleggsfag,Bygg- og anleggsfag,Building and construction,Arkitektur,Arkitektur,Architecture,Master,"Naturvitenskapelige fag, håndverksfag og tekniske fag - master",MASTERARK,,PR,ARKITEKTUR,ARKITEKTUR(BYGG),0,114,50,0,1,1.0,330,1,0,NOR,0,423,221,202,25,0.52,0.48,4.2,3.8,3.9,4.5,4.1,,,,,,,4.4,4.2,4.3,4.3,4.2,4.2,4.5,4.2,4.3,3.1,3.8,4.4,3.9,3.8,4.0,3.3,3.5,3.3,4.1,3.6,4.3,4.5,4.3,3.3,4.1,4.1,3.2,2.9,3.1,3.1,4.3,4.7,3.9,4.3,,,,,,,,,4.1,3.1,3.9,3.1,3.6,3.6,3.0,3.1,3.8,4.4,4.2,4.1,3.5,4.3,4.4,4.0,3.9,3.9,4.3,4.0,4.1,4.4,4.2,4.4,4.2,4.9,4.3,15.7,34.1,6.5,4.0,4.1,3.4,3.9,3.8,,,,,,,,,,,,,,,,,,,,,,,,,3.9,4.0,3.7,4.0,4.4,4.2
Master i arkitekturvern,1220_MASTERAVER,Master of Architectural conservation,1220,Arkitektur- og designhøgskolen i Oslo,The Oslo School of Architecture and Design,Oslo,757299,"Naturvitenskapelige fag, håndverksfag og tekniske fag","Naturvitskapelege fag, handverksfag og tekniske fag","Natural sciences, vocational and technical subjects",Bygg- og anleggsfag,Bygg- og anleggsfag,Building and construction,Arkitektur,Arkitektur,Architecture,Master,"Naturvitenskapelige fag, håndverksfag og tekniske fag - master",MASTERAVER,,ME,ARKITEKTUR,ARKITEKTUR(BYGG),0,6,1,0,0,0.5,90,1,0,NOR,2,7,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
